Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
73,185,25,31,Cam Ward,CAR,2015,0,1,51,52,23,17,10,1343,1221,2.409,0.909,0,0,1,122,1214,0.909,2.431,3011,25,7,3,0.49,0.907,0.085,2.471,-4.1,91.73,92.4,-0.68,79.36,-7.36
75,216,5,28,Carey Price,MTL,2015,0,1,12,12,10,2,0,365,341,2.062,0.934,0,0,2,24,341,0.934,2.06,699,9,1,1,0.75,0.931,0.082,3.583,2.11,93.93,92.9,1.03,81.82,2.89
73,201,0,30,Carter Hutton,NSH,2015,1,0,15,17,7,5,4,464,426,2.329,0.918,1,0,2,36,399,0.917,2.366,913,7,1,0,0.467,0.914,0.088,2.467,-0.41,92.76,93.01,-0.25,81.54,-0.91
75,196,125,29,Chad Johnson,BUF,2015,0,1,40,45,22,16,4,1270,1168,2.362,0.92,2,0,1,99,1107,0.918,2.457,2418,24,3,0,0.6,0.917,0.085,2.875,-2.89,92.63,92.76,-0.13,77.38,-1.33
76,207,130,22,Connor Hellebuyck,WPG,2015,0,2,26,26,13,11,1,683,627,2.344,0.918,0,0,2,56,627,0.918,2.341,1435,14,6,3,0.538,0.918,0.086,2.654,2.54,94.07,92.01,2.06,80.39,10.78
74,216,52,31,Corey Crawford,CHI,2015,1,1,58,58,35,18,5,1718,1587,2.366,0.924,1,2,7,131,1587,0.924,2.365,3323,40,9,5,0.69,0.923,0.085,2.793,13.8,93.31,91.96,1.35,82.44,18
75,205,26,29,Cory Schneider,NJD,2015,0,1,58,58,27,25,6,1597,1475,2.145,0.924,0,0,4,122,1475,0.924,2.144,3414,40,7,3,0.69,0.923,0.086,2.172,7.22,93.04,92.24,0.81,83.33,9.53
74,184,73,34,Craig Anderson,OTT,2015,0,1,60,60,31,23,5,1915,1754,2.778,0.916,2,0,4,161,1754,0.916,2.777,3479,31,8,4,0.517,0.912,0.085,3.067,1.48,92.6,92.92,-0.33,77.19,-4.9
77,212,161,25,Darcy Kuemper,MIN,2015,1,0,16,21,6,7,5,507,464,2.426,0.915,0,2,2,37,399,0.915,2.395,927,9,2,1,0.563,0.919,0.086,2.5,-0.94,92.02,92.16,-0.14,81.48,-0.55
78,212,14,29,Devan Dubnyk,MIN,2015,1,1,66,67,32,26,6,1829,1679,2.331,0.918,0,8,5,149,1665,0.918,2.337,3826,33,5,5,0.5,0.915,0.085,2.667,6.32,93.27,93.03,0.25,78.42,3.48
76,187,0,28,Eddie Lack,CAR,2015,0,0,31,34,12,14,6,910,820,2.812,0.901,2,0,2,86,795,0.902,2.809,1837,15,7,1,0.484,0.905,0.087,2.323,-1.05,90.96,91.61,-0.65,81.18,-4.99
76,220,87,26,Frederik Andersen,ANA,2015,1,2,37,43,22,9,7,1086,998,2.298,0.919,1,2,3,81,950,0.921,2.245,2165,24,5,2,0.649,0.915,0.086,2.892,4.96,92.96,92.29,0.68,80.49,5.57
73,188,205,33,Henrik Lundqvist,NYR,2015,1,1,64,65,35,21,7,1944,1788,2.481,0.92,4,4,4,152,1761,0.921,2.446,3729,41,6,8,0.641,0.917,0.085,2.813,3.59,93.68,92.05,1.63,81.93,24.96
78,196,31,26,Jacob Markstrom,VAN,2015,0,0,30,33,13,14,4,988,904,2.728,0.915,2,4,0,84,898,0.914,2.775,1816,17,4,0,0.567,0.918,0.084,2.067,4.64,91.91,91.96,-0.05,80.14,-0.37
74,195,34,25,Jake Allen,STL,2015,1,1,44,47,26,15,3,1260,1159,2.346,0.92,0,0,6,97,1113,0.92,2.352,2474,25,6,6,0.568,0.92,0.085,2.75,-5.73,92.86,92.83,0.04,81.55,0.36
71,181,271,30,Jaroslav Halak,NYI,2015,1,1,36,36,18,13,4,984,904,2.295,0.919,1,0,3,80,904,0.919,2.293,2093,22,6,3,0.611,0.923,0.087,2.528,2.59,92.17,91.42,0.75,79.89,6.04
74,179,74,28,Jeff Zatkoff,PIT,2015,1,0,11,14,4,7,1,408,374,2.787,0.917,0,0,0,31,336,0.916,2.822,659,7,3,0,0.636,0.908,0.084,2,-9.23,91.83,93.55,-1.72,62.79,-5.25
70,171,46,27,Jhonas Enroth,LAK,2015,1,0,13,16,7,5,1,398,367,2.172,0.922,0,0,2,29,344,0.922,2.222,783,8,1,0,0.615,0.922,0.085,2.308,3.42,93.77,92.04,1.73,83.61,5.55
73,218,64,31,Jimmy Howard,DET,2015,1,0,33,37,14,14,5,979,887,2.797,0.906,1,2,2,85,833,0.907,2.766,1844,17,6,5,0.515,0.908,0.086,2.636,-2.22,91.99,91.77,0.22,76.36,1.69
75,226,39,22,John Gibson,ANA,2015,1,2,38,40,21,13,4,992,913,2.066,0.92,1,2,4,77,876,0.919,2.092,2208,22,3,5,0.579,0.915,0.085,2.5,-6.2,92.15,92.66,-0.51,75.84,-3.91
76,201,0,31,Jonas Gustavsson,BOS,2015,0,0,20,24,11,9,1,622,565,2.718,0.908,0,0,1,48,511,0.914,2.546,1131,10,2,2,0.5,0.906,0.085,2.95,-2.11,91.43,92.66,-1.23,74.39,-6.16
73,218,72,30,Jonathan Quick,LAK,2015,1,1,68,68,40,23,5,1820,1671,2.216,0.918,3,10,5,149,1671,0.918,2.213,4039,40,9,3,0.588,0.918,0.085,2.794,7.84,92.9,92.61,0.3,84.06,4.05
75,182,62,21,Joonas Korpisalo,CBJ,2015,0,2,30,31,16,11,4,969,891,2.596,0.92,0,2,0,76,879,0.92,2.565,1778,18,1,3,0.6,0.918,0.084,2.867,3.96,93.39,92.19,1.19,83.33,9.18
76,205,2,32,Kari Lehtonen,DAL,2015,1,2,39,43,25,10,2,1121,1016,2.764,0.906,3,2,2,98,969,0.908,2.718,2163,22,5,5,0.564,0.908,0.086,3.564,-8.73,90.9,92.16,-1.27,75.58,-11.13
75,195,0,26,Keith Kinkaid,NJD,2015,0,0,20,23,9,9,1,605,547,2.805,0.904,0,2,2,54,520,0.906,2.813,1152,10,5,2,0.5,0.9,0.084,2.55,-8.43,90.56,92.85,-2.29,68.49,-10.67
76,212,163,22,Linus Ullmark,BUF,2015,0,0,20,20,8,10,2,565,516,2.6,0.913,0,0,0,49,516,0.913,2.599,1131,13,4,2,0.65,0.906,0.086,2.1,-6.77,92.24,92.77,-0.52,70.89,-2.5
75,210,138,23,Louis Domingue,ARI,2015,0,2,36,39,15,18,5,1142,1041,2.747,0.912,1,0,2,96,1009,0.913,2.717,2120,21,5,3,0.583,0.909,0.085,2.556,-1.53,93.15,92.78,0.37,78.12,3.25
74,180,1,31,Marc-Andre Fleury,PIT,2015,1,1,58,58,35,17,6,1665,1533,2.287,0.921,1,2,5,132,1533,0.921,2.286,3464,35,5,1,0.603,0.921,0.086,3,8.35,93.2,92.73,0.48,82.5,6.21
76,178,83,21,Matt Murray,PIT,2015,1,0,13,13,9,2,1,355,330,2.004,0.93,0,0,1,25,330,0.93,2.005,748,9,0,1,0.692,0.928,0.084,3.769,2.77,93.44,92.78,0.66,84.44,1.7
75,202,77,25,Michael Hutchinson,WPG,2015,0,2,25,30,9,15,3,805,730,2.837,0.907,0,0,0,70,655,0.903,2.968,1415,9,3,2,0.36,0.907,0.086,2.36,-7.32,90.6,92.19,-1.59,71.76,-9.47
73,209,34,27,Michal Neuvirth,PHI,2015,1,0,29,32,18,8,4,908,839,2.268,0.924,1,2,3,65,795,0.924,2.277,1713,17,3,1,0.586,0.922,0.085,2.69,-1.32,93.01,92.44,0.57,76.27,3.81
74,197,0,25,Mike Condon,MTL,2015,0,0,51,55,21,25,6,1458,1317,2.709,0.903,0,0,1,138,1286,0.903,2.739,3023,26,9,3,0.51,0.904,0.086,2.549,-5.97,91.29,92.34,-1.05,76.5,-11.89
76,215,161,33,Mike Smith,ARI,2015,0,2,32,32,15,13,2,921,844,2.635,0.916,1,2,3,77,844,0.916,2.634,1754,16,7,4,0.5,0.912,0.085,2.375,3.01,93.76,92.98,0.78,85.84,5.5
75,215,41,28,Ondrej Pavelec,WPG,2015,0,2,31,33,13,13,4,918,830,2.78,0.904,0,0,1,83,791,0.905,2.741,1817,16,6,2,0.516,0.909,0.085,2.806,-5.69,91.96,91.44,0.52,78.21,3.58
77,217,258,33,Pekka Rinne,NSH,2015,1,1,66,66,34,21,10,1744,1583,2.48,0.908,2,6,4,161,1583,0.908,2.48,3895,36,11,2,0.545,0.899,0.085,2.879,-16.96,92.04,92.88,-0.84,73.49,-11.45
74,183,141,23,Petr Mrazek,DET,2015,1,1,49,54,27,16,6,1448,1333,2.331,0.921,2,2,4,111,1287,0.921,2.363,2818,32,5,4,0.653,0.919,0.084,2.531,4.72,93.07,92.3,0.77,80.18,8.6
73,182,112,24,Philipp Grubauer,WSH,2015,1,0,16,22,8,9,1,523,480,2.322,0.918,0,2,0,40,421,0.913,2.505,958,8,2,0,0.5,0.917,0.086,2.313,1.9,92.27,92.56,-0.29,82.67,-1.18
76,210,106,29,Reto Berra,COL,2015,0,0,12,14,5,8,0,374,345,2.414,0.922,1,2,2,28,328,0.921,2.534,663,7,2,2,0.583,0.921,0.085,2.5,5.27,94.85,93.19,1.66,92.5,4.82
75,217,4,36,Roberto Luongo,FLA,2015,1,1,60,62,35,19,6,1801,1660,2.349,0.922,2,4,4,138,1618,0.921,2.364,3503,34,8,3,0.567,0.917,0.084,3.067,5.66,93.47,92.73,0.73,78.93,10.12
77,240,46,24,Robin Lehner,BUF,2015,0,0,21,21,5,9,5,634,586,2.474,0.924,1,8,1,48,586,0.924,2.474,1164,12,3,3,0.571,0.918,0.085,2.048,-3.27,92.78,93.5,-0.72,77.63,-3.48
74,168,138,35,Ryan Miller,VAN,2015,0,1,51,51,17,24,9,1634,1497,2.701,0.916,1,2,1,137,1497,0.916,2.701,3043,25,2,2,0.49,0.918,0.086,2.451,1.17,92.9,92.13,0.77,79.52,9.71
